"filename", "language", "Markdown", "Python", "Batch", "XML", "Ini", "comment", "blank", "total"
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\Excel.py", "Python", 0, 73, 0, 0, 0, 2, 18, 93
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\Files.py", "Python", 0, 63, 0, 0, 0, 7, 17, 87
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\FindData.py", "Python", 0, 282, 0, 0, 0, 24, 33, 339
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\Rename.py", "Python", 0, 20, 0, 0, 0, 6, 5, 31
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\Word.py", "Python", 0, 32, 0, 0, 0, 0, 6, 38
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 1
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\common.py", "Python", 0, 26, 0, 0, 0, 0, 6, 32
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\config.ini", "Ini", 0, 0, 0, 0, 9, 0, 4, 13
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\config.py", "Python", 0, 79, 0, 0, 0, 0, 20, 99
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\config_adapt.py", "Python", 0, 22, 0, 0, 0, 0, 6, 28
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\decoration.py", "Python", 0, 53, 0, 0, 0, 0, 9, 62
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Public\offical example.py", "Python", 0, 34, 0, 0, 0, 0, 10, 44
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Resource\ico.qrc", "XML", 0, 0, 0, 62, 0, 0, 1, 63
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Resource\ico_rc.py", "Python", 0, 5867, 0, 0, 0, 6, 11, 5884
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\Resource\pictures\icos\DM_20230815124713_071.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\app.py", "Python", 0, 10, 0, 0, 0, 0, 3, 13
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\appMain.py", "Python", 0, 285, 0, 0, 0, 8, 53, 346
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\app_test.py", "Python", 0, 10, 0, 0, 0, 0, 4, 14
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\ico_rc.py", "Python", 0, 5866, 0, 0, 0, 6, 11, 5883
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\quantum.py", "Python", 0, 94, 0, 0, 0, 7, 18, 119
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\ui_Quatum.py", "Python", 0, 586, 0, 0, 0, 7, 8, 601
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\ui_Start.py", "Python", 0, 88, 0, 0, 0, 1, 23, 112
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Demo\ui_quatum.ui", "XML", 0, 0, 0, 1181, 0, 0, 1, 1182
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\README.md", "Markdown", 6, 0, 0, 0, 0, 0, 5, 11
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Tools\exe.bat", "Batch", 0, 0, 35, 0, 0, 6, 9, 50
"e:\Python_Files\codehub\JiaGengXiong-Python-Files_3.7\Quantum\Tools\ui_qua.bat", "Batch", 0, 0, 13, 0, 0, 0, 5, 18
"Total", "-", 6, 13491, 48, 1248, 9, 80, 286, 15168